Life Event,Months,Color
"Hawaii",1961-08,#31bf4d
"Washington State",1961-09,#98da25
"Hawaii",1962-08,#31bf4d
"Jakarta",1967-07,#87e175
"Hawaii",1971-04,#31bf4d
"Occidental College",1979-09,#eb93e8
"Columbia University",1981-09,#c147d1
"Business Int. Co.",1983-05,#ece25b
"NYPIRG",1985-02,#e6da2d
"Developing Communities",1985-06,#e1bd3d
"Harvard Law School",1988-09,#e14023
"U. Chicago Professor",1991-09,#db2988
"Illinois State Senator",1997-01,#9ccfd8
"US Senator",2005-01,#28bdd7
"President",2009-01,#2377d7
"Private Citizen",2017-01,#6ab98c
"End Month",2020-09,undefined
